,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Answers
2110,299.3,309.0,1508,35.0,70,0,0,0,0,0,0,3
4188,302.3,310.8,1611,31.8,169,0,0,0,0,0,0,2
8774,297.6,308.7,1408,51.5,4,0,0,0,0,0,0,2
984,296.3,307.1,1419,48.6,142,0,0,0,0,0,0,1
1153,297.0,307.9,1448,45.6,172,0,0,0,0,0,0,3
4650,303.3,311.4,1658,30.5,7,0,0,0,0,0,0,1
9324,298.6,309.3,1537,37.6,175,0,0,0,0,0,0,1
4299,301.7,310.1,1402,50.1,3,0,0,0,0,0,0,1
7543,300.3,311.5,1446,45.0,82,0,0,0,0,0,0,1
1668,298.2,307.9,1551,34.1,190,0,0,0,0,0,0,1
4072,301.9,310.6,1610,33.4,87,0,0,0,0,0,0,1
5733,302.3,311.8,1487,43.2,206,0,0,0,0,0,0,1
3982,302.2,311.3,1475,48.6,104,0,0,0,0,0,0,1
4424,302.6,310.2,1631,31.0,100,0,0,0,0,0,0,2
9127,297.4,308.5,1761,27.2,76,0,0,0,0,0,0,1
5557,302.5,312.0,1436,43.5,184,0,0,0,0,0,0,2
981,296.2,306.8,1655,31.1,136,0,0,0,0,0,0,1
9244,298.3,308.8,1767,27.3,168,0,0,0,0,0,0,1
1203,297.0,308.1,1410,47.6,79,0,0,0,0,0,0,3
3325,301.5,310.6,1587,33.7,122,0,0,0,0,0,0,1
8014,300.9,312.0,1500,44.2,188,0,0,0,0,0,0,1
4623,303.0,311.1,1525,40.7,179,0,0,0,0,0,0,1
1888,297.8,307.4,1902,24.3,129,0,0,0,0,0,0,2
6684,301.6,310.9,1538,40.4,13,0,0,0,0,0,0,1
9810,298.1,309.0,1502,40.9,153,0,0,0,0,0,0,1
4408,302.4,310.1,2009,18.9,59,0,0,0,0,0,0,1
5780,301.7,311.2,1517,42.4,113,0,0,0,0,0,0,1
3420,301.6,310.6,1834,23.5,146,0,0,0,0,0,0,1
5928,300.2,310.1,1550,38.7,45,0,0,0,0,0,0,2
4763,303.7,312.1,1443,45.9,74,0,0,0,0,0,0,1
2999,300.5,309.7,1395,61.0,157,0,0,0,0,0,0,1
7060,300.6,310.4,1479,35.6,150,0,0,0,0,0,0,3
5144,304.4,313.7,1607,33.5,5,0,0,0,0,0,0,1
7311,300.0,310.5,1558,36.7,137,0,0,0,0,0,0,3
2938,300.7,309.5,1479,34.5,197,0,0,0,0,0,0,1
6423,300.3,310.0,1537,37.5,6,0,0,0,0,0,0,2
6154,301.0,310.9,1765,24.2,179,0,0,0,0,0,0,2
4056,301.9,310.9,1597,36.9,50,0,0,0,0,0,0,1
1505,298.0,308.7,1626,36.7,210,0,0,0,0,0,0,1
9559,299.5,310.9,1496,38.5,162,0,0,0,0,0,0,1
7760,300.4,311.7,1511,33.0,200,0,0,0,0,0,0,2
4930,303.4,312.3,1663,33.9,78,0,0,0,0,0,0,1
6732,301.7,311.0,1503,44.8,134,0,0,0,0,0,0,1
3063,300.0,309.1,1431,45.4,90,0,0,0,0,0,0,1
4372,301.9,309.6,1439,41.7,201,0,0,0,0,0,0,2
2025,298.7,308.5,1469,39.9,67,0,0,0,0,0,0,1
8243,299.1,310.4,1369,54.5,104,0,0,0,0,0,0,3
3526,301.8,310.8,1470,37.6,204,0,0,0,0,0,0,3
8485,298.4,309.5,1450,47.9,112,0,0,0,0,0,0,1
1893,297.8,307.5,1631,29.9,144,0,0,0,0,0,0,1
5528,302.4,311.8,1384,50.9,99,0,0,0,0,0,0,1
7906,300.9,312.4,1372,51.0,142,0,0,0,0,0,0,1
7766,300.3,311.4,1318,52.7,13,0,0,0,0,0,0,1
8345,298.8,309.8,1490,35.9,171,0,0,0,0,0,0,3
2943,300.7,309.5,2007,19.7,2,0,0,0,0,0,0,3
5221,303.9,313.0,1626,31.4,209,0,0,0,0,0,0,1
1010,296.2,307.2,1552,34.8,8,0,0,0,0,0,0,2
1383,298.9,310.2,1331,49.0,121,0,0,0,0,0,0,2
5978,300.5,310.6,1448,46.3,173,0,0,0,0,0,0,1
911,295.6,306.1,1490,42.7,171,0,0,0,0,0,0,2
359,297.6,308.3,1567,34.6,71,0,0,0,0,0,0,2
7415,300.1,311.2,1489,39.1,188,0,0,0,0,0,0,1
8883,297.9,309.2,1529,38.1,96,0,0,0,0,0,0,2
7679,300.7,311.7,1635,32.4,213,0,0,0,0,0,0,1
661,297.6,309.0,1427,45.6,179,0,0,0,0,0,0,2
314,297.9,308.5,1300,53.0,172,0,0,0,0,0,0,2
8189,299.7,311.0,1983,21.0,201,0,0,0,0,0,0,1
1604,297.8,307.8,1452,39.8,21,0,0,0,0,0,0,1
1443,298.9,310.1,1602,38.2,58,0,0,0,0,0,0,1
112,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,2
4542,302.5,310.4,1581,32.7,181,0,0,0,0,0,0,2
8798,297.3,308.4,1469,46.7,65,0,0,0,0,0,0,1
4895,303.8,312.4,1597,33.4,203,0,0,0,0,0,0,2
6058,300.9,310.9,1636,35.3,153,0,0,0,0,0,0,2
1934,298.1,307.9,1698,33.3,40,0,0,0,0,0,0,1
550,297.4,309.2,1698,29.4,119,0,0,0,0,0,0,1
8599,297.6,308.4,1460,40.3,195,0,0,0,0,0,0,1
7136,300.5,309.9,1343,63.7,124,0,0,0,0,0,0,2
4502,302.4,310.2,1642,28.3,88,0,0,0,0,0,0,1
7188,300.4,310.4,1286,56.8,46,0,0,0,0,0,0,1
8702,297.2,308.6,1774,23.0,30,0,0,0,0,0,0,1
3133,300.2,309.6,1442,49.2,61,0,0,0,0,0,0,3
881,295.7,306.2,1464,46.2,92,0,0,0,0,0,0,1
4944,303.6,312.7,1765,27.5,115,0,0,0,0,0,0,2
9861,298.7,309.6,1800,24.8,78,0,0,0,0,0,0,2
3273,301.3,309.9,1565,36.0,213,0,0,0,0,0,0,2
5416,302.6,312.3,1660,30.3,36,0,0,0,0,0,0,1
8778,297.5,308.7,1454,45.0,19,0,0,0,0,0,0,1
9605,298.9,310.1,1484,37.9,73,0,0,0,0,0,0,2
5231,303.8,313.1,1458,42.2,25,0,0,0,0,0,0,1
8393,298.5,309.5,1428,43.5,87,0,0,0,0,0,0,1
5022,304.0,313.1,1404,47.1,90,0,0,0,0,0,0,1
8285,298.9,310.6,1387,52.7,2,0,0,0,0,0,0,1
5275,303.7,313.1,1423,41.2,124,0,0,0,0,0,0,1
8016,300.9,312.0,1447,41.4,193,0,0,0,0,0,0,2
7165,300.2,310.1,1392,47.9,201,0,0,0,0,0,0,1
4396,302.3,310.1,1383,42.9,24,0,0,0,0,0,0,3
5759,301.8,311.3,1551,35.8,61,0,0,0,0,0,0,1
5404,302.8,312.5,1422,46.1,4,0,0,0,0,0,0,3
6932,300.8,311.4,1322,67.2,18,1,0,0,1,0,0,1
419,297.3,308.3,1501,38.2,2,0,0,0,0,0,0,2
6011,300.8,310.8,1564,36.2,31,0,0,0,0,0,0,1
4399,302.3,310.1,1653,29.7,34,0,0,0,0,0,0,1
4927,303.5,312.3,1543,33.3,71,0,0,0,0,0,0,2
9847,298.4,309.1,1362,46.1,37,0,0,0,0,0,0,1
6468,300.5,309.8,1507,42.5,117,0,0,0,0,0,0,1
2100,299.3,309.3,1471,46.0,42,0,0,0,0,0,0,2
5556,302.5,312.0,1357,42.0,179,0,0,0,0,0,0,3
9546,299.7,311.2,1560,43.9,126,0,0,0,0,0,0,2
6982,300.7,311.1,1440,43.0,148,0,0,0,0,0,0,1
9,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,2
5991,300.7,310.7,1416,40.4,214,0,0,0,0,0,0,1
3371,301.4,310.7,1989,21.8,19,0,0,0,0,0,0,1
5122,304.2,313.5,1684,29.8,156,0,0,0,0,0,0,3
1521,298.2,308.9,1585,34.3,33,0,0,0,0,0,0,2
5321,303.4,312.7,1576,49.9,28,0,0,0,0,0,0,2
4318,301.5,310.1,1541,42.2,52,0,0,0,0,0,0,1
9102,297.3,308.3,1494,38.2,14,0,0,0,0,0,0,1
1885,298.0,307.6,1683,32.8,122,0,0,0,0,0,0,1
1918,298.1,307.9,1496,40.0,0,0,0,0,0,0,0,2
7907,300.8,312.3,1858,26.3,144,0,0,0,0,0,0,1
4557,302.7,310.6,1686,26.3,9,0,0,0,0,0,0,1
6759,301.7,311.0,1441,44.3,208,1,1,0,0,0,0,1
9549,299.6,311.1,1649,33.8,133,0,0,0,0,0,0,2
2745,299.7,309.1,1603,38.5,170,0,0,0,0,0,0,2
3022,300.5,309.6,1760,30.6,213,0,0,0,0,0,0,1
3222,300.7,309.7,1435,44.7,76,0,0,0,0,0,0,2
6583,301.5,310.5,1503,38.2,200,0,0,0,0,0,0,2
2781,300.2,309.5,2183,17.8,39,0,0,0,0,0,0,1
6609,301.5,310.4,1474,39.9,53,0,0,0,0,0,0,1
645,297.7,309.4,1392,44.1,140,0,0,0,0,0,0,1
8081,300.2,311.6,1356,53.5,132,0,0,0,0,0,0,1
6088,300.9,310.8,1476,39.0,10,0,0,0,0,0,0,1
6053,300.8,310.9,1748,29.9,140,0,0,0,0,0,0,1
4219,301.9,310.7,1717,26.8,27,0,0,0,0,0,0,1
5049,304.0,313.1,1472,45.5,166,0,0,0,0,0,0,3
3705,302.0,311.3,1725,27.7,23,0,0,0,0,0,0,2
1173,297.1,308.0,1559,38.8,229,0,0,0,0,0,0,3
7795,300.1,311.6,1674,29.6,85,0,0,0,0,0,0,3
1349,298.7,310.2,1402,45.9,30,0,0,0,0,0,0,1
7419,300.1,311.4,1572,36.2,199,0,0,0,0,0,0,1
1096,297.0,307.6,1680,35.8,20,0,0,0,0,0,0,1
8794,297.4,308.5,1497,36.4,56,0,0,0,0,0,0,2
8131,299.9,311.2,1364,49.6,50,0,0,0,0,0,0,3
4533,302.4,310.3,1375,52.5,161,1,0,1,0,0,0,2
1413,298.7,309.8,1528,36.7,197,0,0,0,0,0,0,2
4717,303.4,311.6,1425,45.4,184,0,0,0,0,0,0,2
8288,298.8,310.6,1640,33.8,9,0,0,0,0,0,0,2
2283,299.2,308.5,1387,51.1,98,0,0,0,0,0,0,1
4213,302.1,310.7,1465,40.7,13,0,0,0,0,0,0,1
4793,303.6,312.6,1498,40.2,155,0,0,0,0,0,0,3
8128,300.1,311.4,1629,31.3,41,0,0,0,0,0,0,1
9339,298.5,309.0,1458,44.8,217,0,0,0,0,0,0,1
4913,303.5,312.3,1593,35.2,29,0,0,0,0,0,0,2
5091,303.9,313.2,1345,48.2,77,0,0,0,0,0,0,1
1882,298.0,307.6,1581,43.4,113,0,0,0,0,0,0,2
7879,300.8,312.3,1535,40.3,71,0,0,0,0,0,0,2
566,297.6,309.7,1541,33.7,165,0,0,0,0,0,0,2
2429,298.9,308.3,1432,48.9,38,0,0,0,0,0,0,1
3820,302.3,310.8,1421,41.4,102,0,0,0,0,0,0,1
3417,301.6,310.6,1621,33.7,137,0,0,0,0,0,0,1
9866,299.0,309.9,1630,34.0,92,0,0,0,0,0,0,1
2548,299.3,309.2,1440,37.5,111,0,0,0,0,0,0,2
9949,298.2,307.8,1411,53.4,110,0,0,0,0,0,0,2
2042,299.1,308.9,1397,52.4,112,0,0,0,0,0,0,2
9280,298.2,308.8,1470,43.3,61,0,0,0,0,0,0,3
7838,300.2,311.6,1372,49.2,195,0,0,0,0,0,0,1
6701,301.6,310.9,1623,34.1,56,0,0,0,0,0,0,1
1210,297.0,308.1,1537,39.0,103,0,0,0,0,0,0,1
920,295.5,305.9,1518,44.1,194,0,0,0,0,0,0,2
7954,301.0,311.9,1454,41.9,33,0,0,0,0,0,0,1
4501,302.5,310.2,1307,54.0,86,1,0,1,0,0,0,1
2693,300.1,309.6,1622,36.1,43,0,0,0,0,0,0,2
2345,299.2,308.4,1475,38.7,22,0,0,0,0,0,0,1
2876,300.5,309.3,1578,30.5,34,0,0,0,0,0,0,2
1449,299.0,310.4,1677,30.8,73,0,0,0,0,0,0,3
6510,301.1,310.2,1455,55.3,9,0,0,0,0,0,0,1
6506,301.0,310.1,1454,44.1,217,0,0,0,0,0,0,3
511,297.5,309.3,1479,39.4,22,0,0,0,0,0,0,1
5805,301.4,310.9,1557,39.3,174,0,0,0,0,0,0,2
5644,302.5,312.0,1383,51.3,190,0,0,0,0,0,0,1
3036,300.4,309.6,1319,48.1,26,0,0,0,0,0,0,1
7782,300.4,311.6,1518,36.4,53,0,0,0,0,0,0,2
5149,304.3,313.5,1452,41.5,15,0,0,0,0,0,0,1
3129,300.1,309.6,1642,34.5,53,0,0,0,0,0,0,1
4345,301.8,309.8,1546,39.8,121,0,0,0,0,0,0,2
7901,300.8,312.4,1365,44.5,129,0,0,0,0,0,0,1
3329,301.6,310.7,1683,29.7,131,0,0,0,0,0,0,1
9319,298.5,309.4,1911,21.5,164,0,0,0,0,0,0,1
1825,298.0,307.5,1784,27.8,163,0,0,0,0,0,0,2
1300,298.7,309.8,1322,57.0,140,0,0,0,0,0,0,1
7781,300.4,311.7,1513,40.0,51,0,0,0,0,0,0,1
3459,301.5,310.4,1270,54.2,26,0,0,0,0,0,0,1
2821,300.3,309.6,1419,42.5,137,0,0,0,0,0,0,2
6699,301.7,310.8,1516,40.4,48,0,0,0,0,0,0,2
152,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,2
9176,297.8,308.9,1518,40.4,2,0,0,0,0,0,0,1
5140,304.3,313.6,1585,32.1,202,0,0,0,0,0,0,2
7567,300.2,311.0,2370,14.7,144,0,0,0,0,0,0,2
6685,301.6,310.9,1532,43.6,15,0,0,0,0,0,0,1
1054,296.8,307.8,1627,30.5,117,0,0,0,0,0,0,3
5379,302.9,312.4,1446,41.7,196,0,0,0,0,0,0,1
6513,301.1,310.0,1513,38.0,17,0,0,0,0,0,0,1
989,296.2,307.0,2119,18.3,159,0,0,0,0,0,0,2
9708,299.0,310.1,1664,29.7,89,0,0,0,0,0,0,1
4988,303.8,313.1,2497,13.0,5,1,0,0,1,0,0,1
8186,299.7,311.0,1827,25.4,194,0,0,0,0,0,0,1
3926,302.6,311.5,1609,36.0,162,0,0,0,0,0,0,1
4022,302.1,310.9,1666,30.7,203,0,0,0,0,0,0,1
2599,299.2,308.9,1447,39.6,22,0,0,0,0,0,0,2
5477,302.7,312.1,1763,26.5,184,0,0,0,0,0,0,1
8543,298.5,309.4,1365,48.7,56,0,0,0,0,0,0,2
351,297.6,308.4,1611,31.0,48,0,0,0,0,0,0,2
6985,300.8,311.1,1698,24.8,156,0,0,0,0,0,0,3
1457,299.0,310.3,1475,42.4,93,0,0,0,0,0,0,1
2570,299.6,309.2,1713,26.5,167,0,0,0,0,0,0,1
431,297.5,308.5,1446,41.9,32,0,0,0,0,0,0,1
8478,298.5,309.7,1354,60.8,96,0,0,0,0,0,0,2
4637,303.1,311.3,1847,24.7,212,0,0,0,0,0,0,2
2005,298.5,308.3,1504,38.0,20,0,0,0,0,0,0,1
4471,302.8,310.6,1670,29.1,2,0,0,0,0,0,0,1
7857,300.5,311.9,1432,43.1,16,0,0,0,0,0,0,1
58,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,2
3497,301.9,311.0,1642,33.1,126,0,0,0,0,0,0,1
5354,303.4,312.6,1462,37.5,118,0,0,0,0,0,0,1
2563,299.3,309.1,1496,37.2,149,0,0,0,0,0,0,1
8982,297.0,307.7,1315,60.1,128,0,0,0,0,0,0,1
8157,299.6,310.8,1498,46.9,116,0,0,0,0,0,0,1
8685,297.2,308.5,1524,41.4,192,0,0,0,0,0,0,3
2043,299.2,309.0,1597,30.3,115,0,0,0,0,0,0,2
5682,302.3,311.6,1441,53.9,74,0,0,0,0,0,0,3
280,298.1,308.1,1456,43.7,80,0,0,0,0,0,0,2
4867,303.6,312.5,1345,54.1,126,0,0,0,0,0,0,1
4284,301.8,310.0,1493,40.3,185,0,0,0,0,0,0,1
1576,298.3,308.4,1490,41.7,170,0,0,0,0,0,0,1
3852,302.3,310.9,2034,19.7,190,0,0,0,0,0,0,1
4674,303.4,311.5,1414,44.8,71,0,0,0,0,0,0,1
4573,302.8,311.0,1436,43.5,47,0,0,0,0,0,0,3
4957,303.8,312.6,1768,23.9,149,0,0,0,0,0,0,2
4334,301.6,309.8,1472,42.5,91,0,0,0,0,0,0,1
6175,300.9,310.8,1517,44.3,4,0,0,0,0,0,0,1
3082,300.0,309.3,1407,43.9,138,0,0,0,0,0,0,2
1919,298.2,308.0,1658,30.0,3,0,0,0,0,0,0,1
965,295.8,306.6,1508,46.5,99,0,0,0,0,0,0,1
4978,303.6,312.7,1429,47.7,198,0,0,0,0,0,0,1
9106,297.4,308.3,1854,21.8,24,0,0,0,0,0,0,1
5409,302.7,312.4,1433,44.2,17,0,0,0,0,0,0,1
9509,299.2,310.4,1502,39.8,34,0,0,0,0,0,0,2
4139,301.7,310.2,1620,30.8,42,0,0,0,0,0,0,3
72,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,1
4329,301.6,310.0,1566,30.3,79,0,0,0,0,0,0,1
2063,299.7,309.6,1321,53.4,166,0,0,0,0,0,0,1
535,297.4,309.3,1365,52.4,76,0,0,0,0,0,0,3
3579,301.8,310.6,2672,11.8,124,1,0,0,1,0,0,1
799,297.0,307.8,1579,34.1,94,0,0,0,0,0,0,2
4734,303.2,311.5,1507,39.2,225,0,0,0,0,0,0,1
7094,300.6,310.2,1447,45.9,17,0,0,0,0,0,0,1
5334,303.4,312.6,2706,9.8,65,1,0,0,1,0,0,2
350,297.6,308.3,1400,44.3,43,0,0,0,0,0,0,3
3674,302.2,311.5,1346,52.4,157,0,0,0,0,0,0,1
9065,297.2,308.4,2182,17.3,119,0,0,0,0,0,0,3
9599,299.0,310.1,1463,37.4,56,0,0,0,0,0,0,1
2830,300.4,309.3,1411,41.6,160,0,0,0,0,0,0,2
3178,300.2,309.4,1329,53.6,186,0,0,0,0,0,0,2
6147,301.1,311.1,2089,19.8,162,0,0,0,0,0,0,2
3152,300.5,309.8,1473,42.3,121,0,0,0,0,0,0,2
7564,300.3,311.2,1381,65.2,136,1,0,0,1,0,0,2
3274,301.3,310.0,1665,31.4,0,0,0,0,0,0,0,1
2298,299.3,308.6,1482,37.6,132,0,0,0,0,0,0,1
4909,303.5,312.4,1481,43.7,20,0,0,0,0,0,0,1
2082,299.4,309.2,1513,36.1,212,0,0,0,0,0,0,3
3513,301.9,311.1,1417,52.5,171,0,0,0,0,0,0,2
6884,300.8,311.2,1492,39.0,109,0,0,0,0,0,0,1
2143,299.3,308.8,1442,49.0,165,0,0,0,0,0,0,2
3828,302.3,310.8,1762,27.8,127,0,0,0,0,0,0,2
8729,297.3,308.7,1352,53.8,91,0,0,0,0,0,0,1
500,297.5,309.2,1804,27.4,215,0,0,0,0,0,0,2
9527,299.1,310.4,1550,43.9,79,0,0,0,0,0,0,1
2959,300.7,309.4,1589,35.0,52,0,0,0,0,0,0,2
5505,302.8,312.2,1746,27.4,44,0,0,0,0,0,0,1
6782,301.3,310.8,1531,53.4,57,0,0,0,0,0,0,1
2135,299.3,309.0,1511,47.8,148,0,0,0,0,0,0,1
2137,299.3,308.9,1623,31.1,152,0,0,0,0,0,0,1
9338,298.5,309.0,1531,30.8,212,0,0,0,0,0,0,3
3779,302.3,311.0,1657,31.1,3,0,0,0,0,0,0,1
7327,299.9,310.5,1576,39.4,183,0,0,0,0,0,0,2
5365,303.1,312.6,1548,36.4,150,0,0,0,0,0,0,1
4082,302.0,310.4,1568,39.2,112,0,0,0,0,0,0,1
2129,299.4,309.0,1607,33.7,130,0,0,0,0,0,0,3
7687,300.7,311.7,2097,18.9,232,1,1,0,0,0,0,2
2339,299.2,308.2,1466,41.3,8,0,0,0,0,0,0,1
739,296.9,308.4,1390,41.8,184,0,0,0,0,0,0,1
5451,303.0,312.7,1361,48.8,120,0,0,0,0,0,0,1
6675,301.5,310.6,1579,28.0,220,0,0,0,0,0,0,1
9166,297.6,308.6,1390,53.4,175,0,0,0,0,0,0,2
498,297.5,309.1,1611,30.2,211,0,0,0,0,0,0,1
3620,301.9,311.2,1474,41.8,18,0,0,0,0,0,0,3
6049,300.9,311.0,1567,34.3,130,0,0,0,0,0,0,2
5064,304.0,313.0,1407,42.1,5,0,0,0,0,0,0,1
3957,302.2,311.4,1510,44.9,33,0,0,0,0,0,0,1
3925,302.6,311.6,1638,29.6,160,0,0,0,0,0,0,1
3370,301.4,310.7,1584,32.2,17,0,0,0,0,0,0,1
9316,298.5,309.4,1417,41.2,155,0,0,0,0,0,0,3
5753,302.2,311.6,1416,54.1,48,0,0,0,0,0,0,1
3491,301.9,310.9,1590,34.3,106,0,0,0,0,0,0,3
6764,301.4,310.9,1536,38.3,9,0,0,0,0,0,0,1
2619,299.4,309.2,1569,40.8,73,0,0,0,0,0,0,1
5389,302.8,312.3,1366,49.1,221,0,0,0,0,0,0,1
4128,301.9,310.4,1708,24.8,17,0,0,0,0,0,0,1
8207,299.2,310.7,1535,42.6,17,0,0,0,0,0,0,1
2940,300.9,309.7,2355,14.4,201,0,0,0,0,0,0,1
6389,300.3,309.9,1677,30.1,130,0,0,0,0,0,0,3
5368,303.1,312.5,1667,30.0,160,0,0,0,0,0,0,2
7300,300.2,310.6,1431,42.3,113,0,0,0,0,0,0,1
4641,303.1,311.3,1494,42.7,221,0,0,0,0,0,0,3
2604,299.3,309.1,1385,45.6,34,0,0,0,0,0,0,2
2546,299.2,309.1,1605,34.3,107,0,0,0,0,0,0,1
8150,299.5,310.7,1424,41.3,101,0,0,0,0,0,0,2
9676,299.0,310.1,1886,21.2,13,0,0,0,0,0,0,1
6605,301.6,310.6,1691,30.1,40,0,0,0,0,0,0,2
3475,301.8,310.7,1644,33.4,68,0,0,0,0,0,0,1
1013,296.1,307.2,1619,29.7,17,0,0,0,0,0,0,2
3112,299.8,309.1,1355,56.7,7,0,0,0,0,0,0,2
7591,300.5,311.1,1296,61.3,202,1,0,0,0,1,0,2
9758,298.6,309.8,2271,16.2,218,1,1,0,0,0,0,1
119,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,1
9873,298.9,309.8,1616,36.5,110,0,0,0,0,0,0,1
4528,302.5,310.5,1507,39.5,147,0,0,0,0,0,0,1
5245,303.6,313.0,1575,38.3,54,0,0,0,0,0,0,1
4422,302.6,310.2,2157,17.2,94,0,0,0,0,0,0,2
4752,303.3,311.3,1502,39.5,38,0,0,0,0,0,0,3
2226,299.6,308.9,1685,27.8,161,0,0,0,0,0,0,2
3840,302.4,311.0,1610,33.1,161,0,0,0,0,0,0,1
3366,301.4,310.7,1692,32.3,5,0,0,0,0,0,0,2
3163,300.4,309.8,1549,38.9,150,0,0,0,0,0,0,1
825,296.6,307.3,1474,40.0,158,0,0,0,0,0,0,1
3589,301.7,310.5,2465,13.7,149,0,0,0,0,0,0,1
7677,300.6,311.7,1428,52.6,208,0,0,0,0,0,0,1
841,296.6,307.5,1439,45.5,199,0,0,0,0,0,0,1
974,296.0,306.6,1511,35.2,119,0,0,0,0,0,0,1
5957,300.7,310.9,1637,37.2,115,0,0,0,0,0,0,1
3489,301.9,310.9,1542,36.7,101,0,0,0,0,0,0,1
5413,302.7,312.5,1527,36.4,26,0,0,0,0,0,0,3
7958,301.0,312.1,1377,49.9,48,0,0,0,0,0,0,1
3945,302.2,311.3,1570,36.1,0,0,0,0,0,0,0,1
1782,298.4,308.0,1571,37.4,50,0,0,0,0,0,0,1
7966,301.0,312.2,1602,35.9,67,0,0,0,0,0,0,1
5720,302.3,311.9,1434,51.9,173,0,0,0,0,0,0,1
746,296.8,308.1,1289,62.0,199,1,0,0,0,1,0,1
5467,302.9,312.4,1383,51.4,160,0,0,0,0,0,0,1
8554,298.1,309.0,1592,33.9,85,0,0,0,0,0,0,1
3871,302.7,311.8,1728,30.0,12,0,0,0,0,0,0,2
