,ID,population_size,loudness,pulse_rate,gamma,alpha,min_frequency,max_frequency,n_estimator,criterion,max_feature
22,BAT-0022,70,0.4261897009635769,0.5147014833649249,0.8794303093684457,0.41123411247694985,7.149174732910839,84.96864557194183,312,gini,
23,BAT-0023,97,0.9438204041366877,0.396522923244772,0.4146905428757267,0.5522537806491677,2.7311627730694776,28.57121461763877,526,gini,
24,BAT-0024,31,0.7834359412097152,0.6560579552300403,0.35133659228627057,0.389137313630459,6.986187724201986,40.74557088909562,100,entropy,
25,BAT-0025,59,0.5113189889790577,0.8724472759760682,0.3442555897010584,0.4285103223276988,2.935810101656824,76.00583555874913,525,gini,
26,BAT-0026,48,0.5510684224375982,0.9916425559013071,0.2850307278295682,0.49387837409969304,1.9421330802475167,87.29566367063187,502,gini,
27,BAT-0027,87,0.5514650862130996,0.4302035654023899,0.7519909622090749,0.19215419279603912,4.8499423824530705,93.85206702237484,536,gini,
28,BAT-0028,22,0.4471843203722451,0.9893366905166878,0.557994608463538,0.9789733323749332,7.985802467045852,95.53390124107221,151,gini,
29,BAT-0029,34,0.5402185450894988,0.22575801870981094,0.5491954406464407,0.9317165861243726,7.794124570577695,86.87230045164576,147,entropy,
30,BAT-0030,77,0.4050042914285511,0.8805672101028759,0.5678179196974483,0.7160913497937218,3.545830887564101,14.876206429419117,128,entropy,sqrt
31,BAT-0031,51,0.8594035075272777,0.5766929570405519,0.6698730192198146,0.3326802884659725,8.333117161938947,18.096051831957595,139,entropy,sqrt
32,BAT-0032,83,0.32638821797352974,0.618094862669746,0.9988797583649928,0.13051427702629836,8.035092387918034,57.02979122201562,119,entropy,sqrt
33,BAT-0033,39,0.7154766811386368,0.59313855013097,0.8689894447143621,0.9629963044472181,1.8461442142447737,18.68264629945117,309,entropy,
34,BAT-0034,59,0.10450093125557516,0.9545704419542261,0.3187595810321446,0.3443622237400129,7.394612003804263,52.76033902090396,490,entropy,
35,BAT-0035,43,0.4008086187454959,0.7634873928283312,0.6478955208513529,0.6793373761615064,5.727610090599553,59.26329780815977,300,gini,sqrt
36,BAT-0036,65,0.5152574067731476,0.5821280001876377,0.587595068237799,0.7619400210089619,1.6199968179224755,64.60604749074813,462,entropy,sqrt
37,BAT-0037,91,0.8913680549015369,0.3756356840602375,0.5552988897118324,0.7983762811673834,5.0416350351980865,64.35322747328385,286,entropy,sqrt
38,BAT-0038,74,0.15433180419207637,0.6553812378048784,0.8689265937549328,0.36545880127700436,3.318600090692476,78.68686109833916,484,entropy,log2
39,BAT-0039,71,0.9026144847091193,0.542949983058037,0.16630125837879978,0.3577010490585364,4.764237138888693,88.94162521744933,154,gini,sqrt
40,BAT-0040,18,0.8089776908366232,0.9038273843656044,0.404860211447162,0.8844349061713712,5.266911965588118,13.66342068222656,586,entropy,log2
41,BAT-0041,58,0.7453414454309494,0.5906065023865308,0.22768412984174713,0.8444603697216936,3.579237298356669,32.30850226210738,573,gini,sqrt
42,BAT-0042,26,0.21165771686339951,0.1338017174949213,0.5132955650717262,0.4385770398507839,5.906439656740357,26.932789860419994,321,entropy,sqrt
43,BAT-0043,98,0.1620250793876899,0.7148662079685199,0.5098202571739955,0.2766591676913609,1.8334548704830722,56.605941637707154,274,entropy,log2
44,BAT-0044,65,0.2600000929071908,0.3513421243099005,0.3169772647360689,0.11745672509814459,5.561795853990093,82.85267792199589,260,gini,log2
45,BAT-0045,24,0.4496242594869295,0.6806630659350815,0.8052782780205264,0.9875157091402691,3.926773395485732,37.38012885481116,57,gini,log2
46,BAT-0046,53,0.4774751649615241,0.2034510190674378,0.8137366730155703,0.4635211741147196,3.9690387433000662,43.26179928189517,368,gini,sqrt
47,BAT-0047,39,0.8569248863083163,0.49976213128099456,0.8039239186906227,0.8124028325898209,6.8928096808732775,65.79864720940319,399,entropy,
48,BAT-0048,41,0.9094800396763317,0.7450846003340303,0.3974039298668095,0.4064877301333206,3.779412612809452,12.875838327087239,503,entropy,log2
49,BAT-0049,35,0.7121235451887695,0.8394778524659626,0.49800977224915643,0.5658609040087879,4.073624445651803,86.1730213244021,45,entropy,log2
