,ID,population_size,burden_factor,death_rate,visibility,supply_init,endurance_init,min_temperature,max_temperature,n_estimator,criterion,max_feature
33,CAM-0033,94,0.7798845240478768,0.10037934863762396,0.8545645402646658,813.3682768123901,281.59984435074136,-95.47166140168135,10.756956098713811,544,entropy,
34,CAM-0034,70,0.38291123814289807,0.5484645849601852,0.17045392710495655,606.2089697173184,319.3331755688681,-57.68600218657129,5.426450662730014,68,gini,
35,CAM-0035,64,0.9717083228842099,0.7932439775400973,0.6291832006565957,955.6611163362262,342.17022994408075,-71.21002305390347,99.85873623642327,559,gini,
36,CAM-0036,34,0.11869441531564355,0.5740664669040253,0.6985226279379863,278.49942921391676,773.6619901837016,-46.48436714286126,1.9918635033143817,480,entropy,sqrt
37,CAM-0037,97,0.8749921420687178,0.2962857359406272,0.2340023285871453,321.43337092909576,986.1071795817967,-78.1833835969771,26.345390034239657,569,entropy,
38,CAM-0038,84,0.23515694159875491,0.6555897858453605,0.711312383624066,216.95646157563795,633.9906236887061,-46.87202720234331,6.127237002764722,436,entropy,log2
39,CAM-0039,65,0.7563914599536303,0.5123690061195515,0.8731840584236166,282.82357560754224,543.376846578537,-41.9842721513482,10.27977027948683,83,gini,log2
40,CAM-0040,40,0.4904427148552368,0.8175587732206904,0.1503424474683955,525.4937942698891,708.7853176572105,-39.54197613637637,18.437265302852555,463,entropy,
41,CAM-0041,87,0.145381620593803,0.8507814906607828,0.18291706268353752,150.84075299389835,24.810346284198538,-37.5892917920115,26.053324303014342,122,entropy,sqrt
42,CAM-0042,56,0.29253501120014136,0.5318732851651565,0.5777533877083783,727.0266075748797,369.357707548431,-91.3612442812333,42.84147362425472,68,gini,
43,CAM-0043,43,0.6729723826580212,0.8444450824124794,0.8132990657298977,496.4343334921011,9.703478458913505,-61.42897822273095,78.50782169823337,139,gini,
44,CAM-0044,32,0.8236425062854004,0.2719713367896243,0.9918474318514253,444.0770180167378,577.2684486485081,-95.08011829711707,98.37993793694208,214,entropy,
45,CAM-0045,28,0.5412069803582148,0.6594055061330226,0.38085937968618655,903.0614939149225,591.9051793709859,-37.74873343432833,56.85517996031078,236,gini,
46,CAM-0046,39,0.8498143663556713,0.7650726552555416,0.9151323741334526,659.4163091879759,965.3959226786574,-91.14604103034736,8.451608962632044,198,entropy,
47,CAM-0047,97,0.16803632625570325,0.13816438539486664,0.89256575739282,665.8748656674042,531.8941378175209,-88.63594963960317,8.815649450005365,128,gini,sqrt
48,CAM-0048,46,0.5294833177005931,0.815579366157009,0.9715630744427873,980.2086703212478,958.6472491171373,-80.06114484009763,8.770059908756771,373,gini,
49,CAM-0049,83,0.611322627867953,0.1108088816433491,0.1852880857628611,835.3958130138794,283.5373438908974,-97.1763860906489,75.28453466624765,455,entropy,
