,ID,population_size,c1,c2,w,min_velocity,max_velocity,repair,n_estimator,criterion,max_feature
18,PAR-0018,87,4.0,4.0,1.0,0.0,8.473834163685442,reflect,559,gini,sqrt
19,PAR-0019,87,4.0,4.0,1.0,-0.08486650908760032,4.524463686689613,reflect,566,gini,sqrt
20,PAR-0020,90,2.493445977167172,1.705527981027572,0.5991923928141525,-0.18503016053734278,9.876691440200977,reflect,574,gini,sqrt
21,PAR-0021,88,3.0428182655144234,3.7838094770890347,0.0375069646803613,-3.3945072628290784,9.005225248863875,wang,572,gini,sqrt
22,PAR-0022,87,1.2994650746722471,0.012823059355985933,0.016994419819597706,-3.058196636418918,2.035609015507116,limit_inverse,573,gini,sqrt
23,PAR-0023,92,3.7800534640238825,2.8171857488321974,0.5907235978450494,-5.089750134315912,3.0855474938338325,limit,579,gini,log2
24,PAR-0024,88,3.876914111237765,2.5614227766588105,0.41689843052438114,-0.6900203629382897,4.317359714149774,limit,544,entropy,
25,PAR-0025,85,0.06867385597086928,1.8103671359859628,0.3428493441544531,-5.932315541712843,6.64397859627924,rand,576,entropy,sqrt
26,PAR-0026,94,1.1285428485166809,1.9306338199690947,0.9906892396073166,-6.01364101954398,9.86493070318702,reflect,583,entropy,sqrt
27,PAR-0027,84,2.8656852643837074,3.0698580324938365,0.40517198915426933,-0.12425340050191203,6.778159627823425,rand,571,gini,sqrt
28,PAR-0028,86,3.5370606632923742,0.15517894139952215,0.8947845827550296,-0.10170605936986199,8.113013804679394,rand,579,entropy,log2
29,PAR-0029,97,0.11775727606135211,2.300465081126244,0.08019415115063233,-1.364482962020647,4.201591990420751,limit,594,gini,log2
30,PAR-0030,88,0.0,4.0,0.0,-3.5065697964129026,4.434989436522332,reflect,560,gini,
31,PAR-0031,90,2.475287525719058,2.4087438090429063,0.49526324639250996,-2.1780757673494886,5.369586455325736,limit_inverse,572,gini,log2
32,PAR-0032,83,3.844464596014392,1.9855155972047016,0.37604656758001487,-3.107653437056637,9.903370017191685,reflect,572,gini,
33,PAR-0033,85,1.8671415266945885,2.972583740757096,0.6413096411422052,-1.7592380987016334,6.104608758471361,reflect,569,gini,sqrt
34,PAR-0034,88,4.0,3.892249823868456,0.22893120759516294,0.0,7.386675229411336,wang,570,gini,sqrt
35,PAR-0035,85,1.9750221303608084,3.1013580292007914,0.1791701519924362,0.0,4.142868573766595,rand,573,gini,sqrt
36,PAR-0036,87,3.9294114649755705,3.867900170832042,0.38608182011620484,-4.096664991768774,7.17640142455076,reflect,565,gini,log2
37,PAR-0037,92,0.35593668705080495,3.555032009364119,0.05811795766617034,-5.5253634104931,8.824647948741449,limit_inverse,576,gini,log2
38,PAR-0038,88,0.0,4.0,0.0,-0.14833992207610064,8.826271167730424,wang,574,gini,sqrt
39,PAR-0039,88,4.0,0.8637783329415101,1.0,-3.3881197290183485,8.779888378558478,reflect,562,entropy,sqrt
40,PAR-0040,91,0.04555954297909581,1.4142035222127296,0.8016903463078291,-2.6796809263834316,8.871675207233725,wang,570,entropy,sqrt
41,PAR-0041,87,2.5152514985084844,2.7444716439349386,0.7754211406549054,-5.023134519486758,4.701725548262087,limit,568,gini,
42,PAR-0042,84,3.301222769000387,1.9879714320350175,0.8529928832468137,-3.946070165099183,7.682601052536695,wang,560,gini,log2
43,PAR-0043,87,4.0,4.0,1.0,-3.2120384308489505,8.07243654035121,limit_inverse,560,gini,sqrt
44,PAR-0044,87,3.211062741070773,0.3544099849252875,0.1356727981363477,-1.7877834073915704,3.049500315627882,reflect,576,entropy,log2
45,PAR-0045,91,2.7844865708448405,3.2976708795912573,0.09113090668429202,-2.5102616917022136,8.043447728616917,reflect,570,entropy,sqrt
46,PAR-0046,84,3.438457842560349,2.603476360938703,0.03295468701026272,-6.418941574588864,6.470860970542166,reflect,561,gini,log2
47,PAR-0047,87,3.69324721861825,3.585031310305401,0.21848156354744053,-0.21422489373631848,8.373567723363966,limit_inverse,566,entropy,
48,PAR-0048,90,3.7572334206797593,2.949833355440784,0.0002288182516438919,-0.6136766836953527,4.4328979948622,rand,565,gini,
49,PAR-0049,87,2.2244158468844035,2.667505942225749,0.6896011071811227,-4.342832250111951,9.014022612154575,limit,572,entropy,
