,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI_Bucket
85,43.82,97.19,1.45,16.01,9.45,22.52,0.67,17.62,27.62,0.09,2.52,0.12,Moderate
86,42.71,80.24,15.9,17.35,22.25,24.68,0.49,9.53,30.68,0.1,3.09,0.12,Satisfactory
87,54.73,94.12,3.49,12.79,9.73,22.79,0.58,8.21,30.21,0.08,2.23,0.15,Satisfactory
88,50.91,99.84,4.55,16.33,12.39,23.18,0.64,10.34,26.24,0.1,2.51,0.1,Satisfactory
89,38.5,106.7,4.5,16.82,12.69,19.54,0.58,11.02,26.62,0.1,2.68,0.11,Satisfactory
90,32.21,107.43,7.39,17.33,15.32,18.13,0.6,11.81,24.84,0.12,3.28,0.13,Moderate
91,35.36,107.25,6.13,17.75,14.52,16.57,0.85,10.87,23.99,0.09,2.92,0.2,Moderate
92,59.65,127.26,8.21,19.14,16.94,20.46,0.7,10.82,21.64,0.16,2.67,0.15,Moderate
95,39.52,113.31,19.35,21.18,27.0,18.5,0.81,15.02,18.8,0.15,2.65,0.2,Moderate
96,43.08,116.06,5.34,19.02,14.54,22.46,0.79,22.7,25.64,0.09,2.16,0.12,Moderate
97,38.1,97.0,7.1,22.21,17.68,19.27,0.79,13.89,22.73,0.06,2.12,0.11,Satisfactory
98,33.08,83.16,5.37,18.83,14.38,14.52,0.72,8.98,23.63,0.05,2.04,0.1,Satisfactory
99,29.7,77.45,4.45,17.33,13.01,12.72,0.65,9.71,29.26,0.05,1.85,0.1,Satisfactory
100,38.67,82.67,4.45,22.81,15.74,12.41,0.66,12.63,22.9,0.06,2.18,0.11,Satisfactory
101,30.04,83.07,11.58,24.74,22.65,12.52,0.78,8.98,17.81,0.05,1.91,0.21,Satisfactory
102,39.72,103.81,19.66,26.29,30.06,14.03,0.81,9.68,17.53,0.11,2.46,0.17,Satisfactory
103,38.21,78.95,5.71,19.03,14.85,14.15,0.75,8.03,22.81,0.05,2.19,0.1,Satisfactory
104,58.31,124.64,11.93,28.85,25.14,14.0,1.03,10.21,22.24,0.12,2.38,0.16,Moderate
105,62.49,113.56,8.08,22.65,18.7,16.53,0.91,12.68,26.26,0.09,2.18,0.12,Moderate
106,49.04,102.46,5.75,19.92,15.26,14.09,0.64,6.82,26.52,0.1,2.5,0.1,Moderate
107,41.67,80.09,2.74,13.08,9.19,13.51,0.78,8.35,30.38,0.11,2.08,0.1,Satisfactory
108,32.44,75.3,6.01,19.07,15.02,12.65,0.68,7.75,21.52,0.09,2.72,0.15,Satisfactory
109,26.43,80.85,10.73,20.82,19.8,11.64,0.72,9.43,16.52,0.08,2.24,0.13,Satisfactory
110,25.08,60.67,7.17,15.22,13.94,14.1,0.56,8.63,13.8,0.05,2.19,0.12,Satisfactory
111,26.09,63.05,4.9,10.42,9.51,10.74,0.58,11.33,21.38,0.02,1.26,0.1,Satisfactory
113,49.58,82.95,4.98,19.05,14.27,13.47,0.7,12.47,20.32,0.09,2.18,0.22,Satisfactory
114,43.52,80.01,6.41,20.43,16.16,13.75,0.8,10.57,23.36,0.12,2.6,0.29,Satisfactory
115,39.83,76.09,4.63,14.37,11.5,13.34,0.7,8.89,23.13,0.09,2.71,0.1,Satisfactory
116,36.89,76.61,6.62,18.83,15.39,13.96,0.57,7.04,13.58,0.06,2.88,0.1,Satisfactory
118,52.69,94.25,4.69,14.44,11.58,15.35,0.59,16.81,19.03,0.01,1.48,0.1,Satisfactory
119,46.48,95.41,4.35,14.79,11.5,15.02,0.6,15.55,21.04,0.03,1.62,0.16,Satisfactory
120,44.22,77.62,3.56,8.53,7.52,14.58,0.73,9.61,23.87,0.02,1.28,0.1,Satisfactory
122,39.05,81.51,3.43,9.86,8.11,10.94,0.68,7.26,23.74,0.05,2.2,0.13,Satisfactory
123,30.21,67.22,5.11,11.29,10.25,11.24,0.58,13.19,20.89,0.01,1.96,0.1,Satisfactory
124,31.14,60.35,4.25,10.36,9.05,11.8,0.83,14.42,20.99,0.02,1.69,0.1,Satisfactory
129,24.23,52.06,4.32,14.33,11.23,8.17,0.56,9.95,23.86,0.04,1.38,0.1,Satisfactory
130,22.29,55.96,4.38,11.27,9.64,10.88,0.67,8.08,19.63,0.03,1.85,0.1,Satisfactory
131,25.28,54.59,4.93,9.65,9.24,12.44,0.72,8.7,19.64,0.01,1.5,0.1,Satisfactory
134,24.4,70.25,5.01,10.84,9.84,10.27,0.74,7.4,13.13,0.0,1.11,0.1,Satisfactory
136,23.72,55.74,4.18,8.86,8.18,10.54,0.81,6.71,19.29,0.0,0.99,0.1,Satisfactory
137,26.12,56.77,4.8,11.71,10.14,9.83,0.5,6.88,14.32,0.0,1.14,0.12,Satisfactory
168,12.42,36.29,4.47,10.28,9.11,4.63,0.51,5.82,36.88,0.03,0.21,0.15,Satisfactory
174,15.2,45.09,4.69,9.26,8.84,8.99,1.18,6.82,54.21,2.11,0.06,4.47,Moderate
181,25.62,56.44,4.28,13.88,10.97,11.52,0.48,7.3,44.62,0.44,0.34,8.45,Satisfactory
182,40.32,66.25,4.36,11.3,9.65,10.61,0.5,7.57,24.35,39.22,4.47,8.46,Satisfactory
183,13.07,37.35,3.8,8.59,7.75,9.78,0.46,6.09,29.05,28.37,5.06,4.02,Satisfactory
184,16.56,41.96,3.03,7.25,6.31,9.48,0.41,6.48,62.01,35.84,0.44,1.52,Moderate
185,19.57,44.72,3.72,7.72,7.22,10.79,0.34,5.99,64.58,53.89,26.79,125.18,Moderate
191,27.42,57.28,3.36,19.38,13.04,7.89,0.32,6.83,77.6,16.54,8.98,89.7,Moderate
192,31.26,72.82,2.6,10.78,7.92,9.02,0.4,7.7,100.25,6.66,1.0,47.94,Moderate
193,28.12,70.21,2.67,13.18,9.28,11.27,0.38,7.28,126.43,4.24,6.34,22.67,Moderate
209,18.81,55.66,3.91,11.7,9.49,11.32,1.01,5.53,62.72,0.23,0.26,0.1,Satisfactory
212,18.09,45.11,3.0,7.26,6.39,9.25,1.0,6.14,64.6,0.4,0.24,0.1,Satisfactory
214,16.86,48.26,2.98,8.54,6.96,10.01,0.52,7.12,50.39,0.36,0.22,0.1,Satisfactory
216,16.46,33.5,5.95,17.41,14.19,11.74,0.61,4.72,40.44,0.48,0.5,0.3,Satisfactory
217,18.4,49.43,4.29,13.66,10.85,13.37,0.38,5.51,48.0,0.4,0.28,0.1,Satisfactory
218,20.31,49.14,3.84,12.76,9.99,12.81,0.41,7.54,61.59,0.39,0.25,0.1,Satisfactory
219,23.99,46.59,3.45,16.64,11.74,15.06,0.51,5.01,46.14,0.34,0.32,0.13,Satisfactory
220,20.36,41.99,4.47,15.53,11.98,13.73,0.52,6.62,53.13,0.32,0.27,0.11,Satisfactory
221,15.08,38.79,5.11,13.96,11.66,10.28,0.4,4.9,44.36,0.32,0.25,0.11,Satisfactory
222,19.42,69.33,5.64,13.23,11.71,10.96,0.41,5.6,47.28,0.29,0.25,0.1,Satisfactory
223,13.93,48.97,5.11,10.72,9.94,11.11,0.33,6.52,44.77,0.3,0.25,0.1,Satisfactory
224,18.29,41.01,6.12,17.63,14.44,13.21,0.63,6.53,37.35,0.32,0.29,0.13,Satisfactory
225,17.25,32.02,2.58,6.82,5.82,11.04,0.37,4.65,65.23,0.29,0.2,0.2,Satisfactory
229,16.89,30.98,2.61,6.37,5.51,10.19,0.39,6.75,54.84,0.35,0.87,4.88,Satisfactory
230,15.95,25.24,7.52,7.16,10.56,16.27,0.64,8.77,37.76,0.28,0.12,0.1,Satisfactory
233,8.68,26.62,2.19,5.01,4.44,12.07,0.31,6.29,19.52,0.2,0.06,0.1,Good
236,10.45,41.47,4.1,11.13,9.34,14.62,0.47,9.94,28.24,0.21,0.09,0.1,Good
238,14.48,35.5,5.28,12.77,11.09,12.61,0.5,9.81,24.28,0.19,0.07,0.1,Good
239,17.96,47.61,5.68,14.95,12.66,14.75,0.69,6.51,32.73,0.19,0.12,0.15,Satisfactory
242,17.42,56.44,5.71,16.26,13.39,15.6,0.47,11.83,28.85,0.21,0.11,0.1,Satisfactory
243,17.79,68.97,7.15,16.25,14.55,14.24,0.62,10.42,26.08,0.16,0.08,0.2,Satisfactory
246,17.74,80.26,10.41,20.1,19.29,18.23,0.49,10.98,27.33,0.2,0.19,0.1,Satisfactory
247,21.78,76.32,5.21,20.63,15.21,18.8,0.44,9.64,25.7,0.16,0.18,0.1,Satisfactory
248,28.31,98.01,9.45,24.83,20.98,18.71,0.54,6.69,31.12,0.13,0.12,0.1,Satisfactory
249,27.1,112.48,9.04,23.91,20.07,21.23,0.47,12.6,23.43,0.16,0.22,0.1,Moderate
250,20.21,91.71,4.66,16.41,12.61,18.05,0.34,6.74,29.91,0.12,0.08,0.1,Satisfactory
251,18.52,51.48,6.99,18.33,15.52,20.07,0.43,12.46,28.73,0.13,0.1,0.1,Satisfactory
252,25.59,70.1,10.33,21.95,20.17,21.89,0.5,8.64,26.4,0.13,0.14,0.12,Satisfactory
253,21.79,75.21,4.79,15.65,12.3,19.74,0.38,11.1,30.57,0.12,0.08,0.2,Satisfactory
256,18.47,52.91,7.36,16.89,15.06,16.57,0.8,11.49,22.14,0.11,0.09,0.1,Moderate
257,16.73,40.15,6.61,16.05,14.0,19.69,0.44,9.02,20.11,0.11,0.07,0.13,Good
258,18.72,57.71,7.08,25.46,19.29,22.11,0.42,12.33,18.28,0.12,0.15,0.1,Good
259,11.39,28.72,4.4,11.2,9.63,24.46,0.39,9.47,21.17,0.12,0.07,0.1,Good
260,10.62,19.96,3.71,9.32,8.1,17.43,0.59,10.32,14.62,0.07,0.03,0.1,Good
262,9.28,16.42,5.01,7.85,8.31,14.27,0.92,8.12,12.29,0.04,0.03,0.1,Satisfactory
263,7.45,20.5,3.99,8.92,8.08,14.63,0.88,8.35,16.01,0.05,0.04,0.1,Satisfactory
264,15.32,45.04,3.13,10.48,8.12,15.07,0.88,8.93,14.12,0.1,0.06,0.1,Satisfactory
266,11.39,24.61,3.02,7.96,6.77,13.6,0.96,11.82,26.34,0.1,0.02,0.1,Satisfactory
267,12.51,32.52,2.71,6.6,5.8,14.61,0.86,9.47,28.28,0.1,0.02,0.1,Satisfactory
268,8.71,14.17,1.36,6.04,4.31,20.04,1.03,8.12,22.3,0.1,0.01,0.1,Satisfactory
271,7.0,7.8,1.7,7.66,5.45,17.12,1.08,8.39,17.77,0.09,0.0,0.1,Satisfactory
273,15.76,40.74,4.78,19.03,14.1,16.38,1.36,9.46,23.34,0.1,0.09,0.15,Satisfactory
274,18.79,60.26,5.2,20.45,15.18,18.52,1.1,10.01,22.54,0.1,0.07,0.1,Satisfactory
276,10.1,23.92,4.73,13.33,11.02,19.26,0.87,9.24,20.67,0.1,0.08,0.1,Satisfactory
277,14.43,43.47,6.66,16.04,14.03,17.73,0.95,9.76,24.54,0.09,0.06,0.13,Satisfactory
278,22.65,57.46,4.52,16.8,12.7,19.88,1.18,8.89,29.44,0.1,0.08,0.1,Satisfactory
279,28.45,81.89,6.68,19.36,15.81,20.7,1.39,9.78,29.76,0.1,0.07,0.1,Satisfactory
280,24.94,69.22,3.56,19.99,13.29,20.42,1.4,11.98,28.1,0.04,0.06,0.1,Satisfactory
281,26.24,62.75,4.63,21.34,15.23,24.55,1.68,11.17,27.98,0.07,0.12,0.1,Satisfactory
282,30.6,76.16,7.16,24.63,18.91,22.37,1.71,11.64,24.36,0.11,0.18,0.12,Satisfactory
284,24.22,86.08,9.81,26.49,22.16,21.11,1.68,11.54,26.93,0.09,0.1,0.1,Satisfactory
287,31.3,101.05,9.49,25.22,21.23,18.06,1.48,11.06,35.61,0.08,0.16,0.1,Satisfactory
288,27.1,89.38,11.58,21.31,20.76,23.69,1.54,10.21,28.77,0.08,0.11,0.1,Moderate
291,33.28,75.5,10.44,32.4,25.96,23.03,1.11,8.91,30.15,0.07,0.07,0.1,Satisfactory
293,40.56,66.97,2.56,17.56,11.42,22.66,0.62,11.29,37.87,0.07,0.11,0.1,Satisfactory
294,37.93,67.4,3.85,20.86,14.32,19.44,0.78,8.91,34.81,0.07,0.17,0.14,Satisfactory
295,31.64,69.39,2.6,18.65,11.86,24.14,0.66,9.58,39.56,0.06,0.07,0.1,Satisfactory
301,35.02,71.42,2.84,21.04,13.5,19.86,0.74,6.28,41.37,0.02,0.03,0.1,Satisfactory
302,24.29,50.33,3.45,13.45,10.13,18.22,0.97,14.1,47.86,0.03,0.07,0.1,Satisfactory
305,26.13,60.44,8.3,22.94,19.06,19.43,0.82,27.0,30.84,0.03,7.96,12.4,Satisfactory
306,24.08,45.81,8.17,27.49,21.37,18.56,0.84,13.47,27.49,0.03,0.07,0.12,Satisfactory
315,25.88,56.44,6.94,17.79,15.2,15.01,0.84,12.41,27.48,0.04,0.21,0.1,Satisfactory
316,49.7,109.35,8.38,25.91,20.65,17.96,0.76,14.31,46.63,0.05,0.16,0.1,Satisfactory
319,65.16,184.84,22.45,52.69,46.28,18.53,1.07,25.5,37.46,0.08,0.14,0.1,Moderate
320,52.88,172.08,5.52,26.45,18.96,21.36,0.81,31.74,57.33,0.04,0.05,0.1,Moderate
322,40.99,122.69,4.32,29.54,19.32,17.01,0.6,24.37,44.5,0.06,0.08,0.1,Moderate
324,39.22,102.6,4.9,24.58,17.06,22.01,0.95,10.6,25.73,0.0,0.06,0.1,Moderate
325,36.86,76.61,8.26,27.36,21.36,20.86,1.09,9.33,21.11,0.02,0.12,0.14,Satisfactory
326,34.41,72.03,10.35,25.38,22.0,19.19,1.07,10.8,21.99,0.02,0.19,0.28,Satisfactory
336,56.53,128.8,9.84,36.38,27.43,16.01,1.18,13.43,41.17,0.08,0.15,0.1,Moderate
337,69.42,167.05,1.79,45.82,25.35,14.06,1.35,23.42,39.0,0.07,0.38,0.14,Moderate
338,53.53,119.1,1.52,38.23,21.54,13.73,0.88,15.52,37.22,0.07,0.28,0.14,Moderate
339,48.33,115.41,1.38,36.77,20.23,15.37,1.16,28.74,37.42,0.08,0.22,0.1,Moderate
340,58.65,125.68,1.23,36.24,20.27,14.82,1.26,14.54,31.09,0.07,0.13,0.13,Moderate
346,21.58,68.71,20.4,39.44,37.67,3.41,0.73,10.43,19.42,0.0,0.07,0.1,Satisfactory
347,23.22,64.84,20.42,39.56,37.74,2.15,0.89,10.33,21.33,0.01,0.11,0.1,Satisfactory
350,51.51,111.28,20.08,57.93,47.24,2.03,1.07,12.3,26.53,0.04,0.11,0.1,Moderate
351,56.85,115.5,16.11,62.91,46.64,2.73,0.82,18.89,27.44,0.03,0.09,0.1,Moderate
352,68.25,129.41,15.11,65.0,46.85,3.53,1.22,25.14,30.3,0.08,0.29,0.1,Moderate
353,84.48,164.24,14.25,80.74,54.62,3.19,1.21,30.44,33.39,0.1,0.39,0.25,Moderate
354,77.38,173.47,22.55,75.54,58.58,4.88,1.15,30.69,35.94,0.09,0.29,0.16,Moderate
355,71.23,160.66,15.11,89.44,59.86,3.45,1.48,38.91,32.4,0.12,0.56,0.2,Moderate
359,19.48,46.57,14.56,35.92,30.95,10.76,0.84,7.49,15.47,0.01,0.07,0.1,Satisfactory
367,85.11,183.15,9.11,97.16,59.17,3.61,1.28,17.17,37.99,0.1,0.23,0.11,Moderate
368,93.95,190.73,19.47,105.22,71.79,3.81,1.81,20.78,39.9,0.11,0.3,0.15,Moderate
369,80.96,152.44,4.73,89.01,51.18,2.95,1.51,15.71,41.41,0.12,0.26,0.11,Poor
372,77.86,159.49,10.69,90.28,56.71,4.66,1.16,14.21,22.45,0.1,0.5,0.13,Moderate
373,70.89,125.4,3.58,68.12,39.14,1.79,1.17,13.87,29.82,0.07,0.44,0.12,Moderate
374,74.34,129.57,4.54,69.78,40.81,3.38,1.09,14.03,33.95,0.09,0.12,0.1,Moderate
375,97.09,143.69,4.09,86.95,49.58,1.52,1.11,13.62,33.03,0.1,0.12,0.12,Moderate
380,111.21,170.04,4.42,76.7,44.4,10.99,1.47,10.17,31.17,0.06,0.06,0.1,Poor
381,107.24,162.72,5.85,72.27,43.16,13.91,1.14,9.58,28.5,0.09,0.04,0.1,Poor
382,89.07,160.83,5.59,72.19,42.93,17.31,1.23,11.7,29.51,0.07,0.05,0.1,Poor
385,90.61,164.19,5.37,74.89,44.2,16.85,1.07,17.68,31.59,0.11,0.3,0.15,Moderate
386,96.57,174.31,3.33,57.77,33.44,18.28,1.1,23.81,39.75,0.11,0.11,0.1,Poor
392,48.88,84.99,6.61,63.12,38.95,19.24,0.94,29.45,23.97,0.06,0.16,0.11,Satisfactory
393,55.24,81.9,3.65,55.65,32.57,17.93,1.17,13.62,27.34,0.07,0.15,0.1,Satisfactory
394,83.4,121.25,2.86,46.47,27.04,20.01,1.0,12.32,32.68,0.08,0.21,0.1,Moderate
395,93.78,142.65,5.55,67.51,40.43,19.51,1.34,42.75,29.16,0.1,0.21,0.1,Moderate
396,92.72,135.61,13.43,77.45,52.11,19.49,1.16,20.19,24.79,0.1,0.22,0.11,Poor
399,73.19,127.1,13.43,69.17,47.7,21.66,0.92,25.43,22.5,0.07,0.22,0.1,Moderate
400,82.53,145.06,5.44,67.17,40.16,21.34,1.01,28.57,24.03,0.09,0.19,0.13,Moderate
401,95.18,154.73,4.57,76.4,44.35,15.29,1.34,33.25,30.68,0.1,0.36,0.15,Poor
402,79.29,136.71,4.24,74.24,42.93,15.82,1.1,40.52,28.79,0.09,0.23,0.16,Moderate
403,83.17,140.9,6.56,83.38,49.69,15.16,1.09,30.85,24.84,0.1,0.21,0.11,Moderate
404,109.97,189.28,13.93,124.57,77.59,10.65,1.38,48.92,30.25,0.11,0.25,0.13,Poor
405,139.38,230.27,35.59,140.17,103.49,8.7,1.24,42.26,20.87,0.13,0.58,0.13,Very Poor
406,126.47,187.83,9.48,106.1,64.14,9.27,1.43,15.29,26.24,0.12,0.25,0.1,Very Poor
407,127.94,196.3,6.73,92.41,54.63,11.1,1.33,15.9,28.51,0.11,0.31,0.1,Very Poor
408,126.66,184.73,9.63,94.51,58.1,13.66,1.45,11.75,26.07,0.12,0.22,0.1,Very Poor
409,121.47,215.5,17.24,103.31,68.98,13.63,1.5,16.53,24.55,0.12,0.31,0.1,Very Poor
410,118.17,219.63,36.87,121.38,94.54,11.21,1.25,39.68,21.18,0.1,0.25,0.13,Poor
411,97.45,225.75,12.68,121.94,75.16,10.39,0.86,66.39,27.23,0.09,0.16,0.18,Poor
412,115.23,198.47,14.96,113.39,72.47,7.38,0.78,9.43,20.07,0.11,0.23,0.13,Poor
