,ID,population_size,loudness,pulse_rate,gamma,alpha,min_frequency,max_frequency,n_estimator,criterion,max_feature
37,BAT-0037,91,0.8913680549015369,0.3756356840602375,0.5552988897118324,0.7983762811673834,5.0416350351980865,64.35322747328385,474,entropy,sqrt
38,BAT-0038,74,0.15433180419207637,0.6553812378048784,0.8689265937549328,0.36545880127700436,3.318600090692476,78.68686109833916,806,entropy,log2
39,BAT-0039,71,0.9026144847091193,0.542949983058037,0.16630125837879978,0.3577010490585364,4.764237138888693,88.94162521744933,253,gini,sqrt
40,BAT-0040,18,0.8089776908366232,0.9038273843656044,0.404860211447162,0.8844349061713712,5.266911965588118,13.66342068222656,976,entropy,log2
41,BAT-0041,58,0.7453414454309494,0.5906065023865308,0.22768412984174713,0.8444603697216936,3.579237298356669,32.30850226210738,955,gini,sqrt
42,BAT-0042,26,0.21165771686339951,0.1338017174949213,0.5132955650717262,0.4385770398507839,5.906439656740357,26.932789860419994,532,entropy,sqrt
43,BAT-0043,98,0.1620250793876899,0.7148662079685199,0.5098202571739955,0.2766591676913609,1.8334548704830722,56.605941637707154,453,entropy,log2
44,BAT-0044,65,0.2600000929071908,0.3513421243099005,0.3169772647360689,0.11745672509814459,5.561795853990093,82.85267792199589,429,gini,log2
45,BAT-0045,24,0.4496242594869295,0.6806630659350815,0.8052782780205264,0.9875157091402691,3.926773395485732,37.38012885481116,89,gini,log2
46,BAT-0046,53,0.4774751649615241,0.2034510190674378,0.8137366730155703,0.4635211741147196,3.9690387433000662,43.26179928189517,610,gini,sqrt
47,BAT-0047,39,0.8569248863083163,0.49976213128099456,0.8039239186906227,0.8124028325898209,6.8928096808732775,65.79864720940319,664,entropy,
48,BAT-0048,41,0.9094800396763317,0.7450846003340303,0.3974039298668095,0.4064877301333206,3.779412612809452,12.875838327087239,837,entropy,log2
49,BAT-0049,35,0.7121235451887695,0.8394778524659626,0.49800977224915643,0.5658609040087879,4.073624445651803,86.1730213244021,69,entropy,log2
50,BAT-0050,53,0.7060382060324653,0.7423182792494778,0.738233128396876,0.29016887494333343,3.4288386937935265,86.95639175684266,845,gini,log2
51,BAT-0051,37,0.8115373042995474,0.31394502852467904,0.28519738427736085,0.9188539508959888,5.106640026050231,38.95321413709903,754,gini,sqrt
52,BAT-0052,15,0.3303882416257991,0.9087706029784817,0.1476823250579303,0.27569430967891073,0.4896923692683264,70.42687039122112,669,entropy,sqrt
53,BAT-0053,76,0.49597197939869364,0.49519498067376466,0.7315304213223096,0.8392509986219212,0.12841274196753516,62.28305623017596,638,gini,sqrt
54,BAT-0054,50,0.9599433402487517,0.5221767378165302,0.3747545673189643,0.46860119809314005,0.9630222924824361,22.963959685766536,522,entropy,log2
55,BAT-0055,22,0.15099285957023134,0.5545435470331151,0.6695649232016064,0.21757913076629648,6.2265353127102765,59.633213144516176,86,gini,sqrt
56,BAT-0056,98,0.8421580891314715,0.36058448419170686,0.4229900265402229,0.8974353438812812,5.104054995589838,26.88854018667195,55,entropy,
57,BAT-0057,12,0.24707138961980568,0.9358993342607604,0.6240044781395157,0.27891805545064396,1.00224364845517,58.27943139137404,781,entropy,log2
58,BAT-0058,89,0.5255060468618019,0.30916005526275225,0.3297814539135905,0.4137241534631133,0.3493985880808548,85.41123908056059,220,entropy,log2
59,BAT-0059,92,0.9771686234270697,0.7014162123723362,0.3997579841745089,0.7458109954413861,7.531525971878763,56.26746267024188,331,gini,log2
60,BAT-0060,16,0.6468944564485855,0.6733602186364458,0.4866180097242705,0.8244852978937154,9.722219733566282,62.71779412798678,25,gini,
61,BAT-0061,91,0.15815515861170867,0.7638910483452004,0.42413851876349873,0.6775438321742909,8.739485687806013,90.66533038018946,734,entropy,log2
62,BAT-0062,15,0.2602919312115853,0.7007260299170404,0.4385478798996856,0.478553742649072,1.040785713805208,49.71182933556218,189,gini,log2
63,BAT-0063,53,0.8231400336175236,0.854874821346194,0.8404568283279721,0.8326649366788321,0.9354460083861393,99.81747769060205,450,entropy,sqrt
64,BAT-0064,88,0.3081574373831685,0.44395329198796973,0.4743772902761275,0.11744732644937993,2.458706363894587,84.95766272803623,154,gini,sqrt
65,BAT-0065,57,0.753219849661292,0.27375371928844383,0.21808468902750247,0.3520986492749799,1.7393554559538515,91.68645355871378,611,entropy,sqrt
66,BAT-0066,59,0.8671196890643261,0.5148601382325616,0.40310632301819704,0.11572419252632687,0.6949256696637474,86.34211905759184,944,gini,
67,BAT-0067,66,0.6245598922488039,0.46061159851733235,0.44565340827037603,0.4224910199197014,0.831158625479459,13.87508677969176,515,entropy,
68,BAT-0068,61,0.7377704564326715,0.8629694517858639,0.2713198984120886,0.5451313069942475,5.526001930298927,72.87979484529373,685,entropy,
69,BAT-0069,63,0.23602315481249586,0.7073193494477359,0.44865592262692444,0.3948797710682742,7.572429033703203,57.342444096470786,151,entropy,
70,BAT-0070,99,0.6065806115722011,0.7300750229310955,0.5671611565357214,0.16376167261209595,0.23221404236269283,97.61762871372734,82,entropy,sqrt
71,BAT-0071,17,0.7578217286216709,0.41332124141774773,0.29678751853546037,0.7215303484526817,0.19962664218551862,47.48784838548174,495,gini,log2
72,BAT-0072,87,0.9248194102773203,0.19374352156731706,0.5848196333644237,0.29039435384793827,8.077852073999718,84.54840302184878,150,entropy,sqrt
73,BAT-0073,23,0.8044019206375908,0.40075127901596164,0.11913427187231551,0.6610341313384649,0.11105546419914569,72.39580159890225,461,gini,log2
74,BAT-0074,36,0.6583538679356582,0.756399334754457,0.47774482372576665,0.5044218425672294,5.037713564357884,77.11699170873264,524,entropy,log2
75,BAT-0075,36,0.8811299331162006,0.3966265728065491,0.5059754510081504,0.9522321295855172,7.795267582402671,24.87843166718075,818,entropy,sqrt
76,BAT-0076,17,0.15169258875745031,0.5698713403438859,0.5573754455061373,0.660058939464838,8.70228318244724,60.79185320158714,162,entropy,log2
77,BAT-0077,29,0.5254625131492557,0.44589457644273134,0.25783555261668234,0.5407838726805724,7.520328641462455,34.250949589967234,234,entropy,sqrt
78,BAT-0078,11,0.6644170976983633,0.9554749133240711,0.1749638757310279,0.10622088459209356,2.035965650997802,85.29373882228879,912,gini,log2
79,BAT-0079,14,0.7856008901346472,0.5434264725044767,0.2797513408046699,0.1243464954611885,9.54999508355068,64.99581477805003,950,entropy,log2
80,BAT-0080,66,0.7837286998470895,0.8763490302344387,0.19748762665953595,0.16977901671564566,8.986915049870438,37.63833548645832,316,entropy,sqrt
81,BAT-0081,72,0.25072391513392756,0.7507999495443041,0.7652826236548329,0.47579835699834483,2.884480704609569,37.56192236906945,399,gini,
82,BAT-0082,35,0.3740760124326168,0.38029693293164035,0.9597558038635802,0.7104001347020777,9.149879099976646,13.156275744970358,567,gini,
83,BAT-0083,80,0.7304421536595435,0.5535892297771986,0.654239470768123,0.7686536584824242,6.485529306004287,93.81174829147626,730,entropy,
84,BAT-0084,81,0.4114940791389885,0.6236480390433379,0.7980036787960912,0.8726162443939908,8.992043636017561,26.790142656937206,245,entropy,sqrt
85,BAT-0085,68,0.4415329231006244,0.7016012473656664,0.8905181004418284,0.47962919130767057,8.385826390415952,93.40667018707215,190,gini,log2
86,BAT-0086,64,0.32651907674597375,0.5828503774479533,0.6815555457304195,0.7003064843773115,8.04230426564428,53.149072716864026,220,entropy,log2
87,BAT-0087,63,0.8116684905370543,0.6415145655045936,0.3522734108906319,0.17570083714024254,0.08910717300361526,28.777728080890796,770,gini,
88,BAT-0088,66,0.2182557112129233,0.5827480026935871,0.6251687861207678,0.2193686908785742,5.6737619120336475,38.47917602148897,714,entropy,log2
89,BAT-0089,10,0.9459027295388561,0.6986820871089848,0.35060208657048886,0.3997370647698092,6.690827859252169,97.65432740522793,863,entropy,sqrt
90,BAT-0090,41,0.9336741276752593,0.89742184138444,0.7234881425939675,0.8309179398419299,9.404270713827875,17.24368157697202,733,entropy,
91,BAT-0091,87,0.14818244577069306,0.7333006219709101,0.6050100782550354,0.37593575954058867,9.301408175094123,83.16463615236827,684,gini,log2
92,BAT-0092,73,0.5316629403411873,0.6322126574791123,0.6479443570503287,0.3900770964454333,2.1840588346891066,28.441636063415284,154,entropy,log2
93,BAT-0093,56,0.2500893845811479,0.19115426133486169,0.364830496724601,0.48247018709026845,0.23742395441358366,96.81214452498146,470,entropy,
94,BAT-0094,98,0.5805667496027078,0.7908295827629502,0.8605589896372443,0.7299708124859677,3.6293641988156766,95.87501351316344,556,entropy,
95,BAT-0095,55,0.17189585571798427,0.5124545147992141,0.47931635630664216,0.5518062685123731,8.855031577009157,52.8320903726612,965,entropy,
96,BAT-0096,53,0.2743519083401146,0.35344092510693514,0.8034200602528734,0.648173141033822,4.7588801822852345,98.92639530172835,909,entropy,sqrt
97,BAT-0097,70,0.8160307786649496,0.12598695484960795,0.3797873293310129,0.33914559634847263,8.314163423573339,72.9927811099435,452,entropy,log2
98,BAT-0098,41,0.9361681871218324,0.33556693756643546,0.689218419263327,0.4028114317995649,3.941331214642881,49.28174858892902,418,entropy,sqrt
99,BAT-0099,53,0.42228255126818204,0.9673604818589048,0.5505692028187087,0.8096057705859845,5.454022036958561,70.82187227608877,569,entropy,sqrt
