,ID,population_size,burden_factor,death_rate,visibility,supply_init,endurance_init,min_temperature,max_temperature,n_estimator,criterion,max_feature
65,CAM-0065,76,0.3352443070734479,0.7283313033203778,0.11646499219148632,127.61031350311646,617.8448972349908,-11.22934620586264,12.275355247919414,834,entropy,log2
66,CAM-0066,77,0.9703978660901664,0.24203310496537395,0.7650556728125627,449.79731598361883,584.7232743712685,-82.17131969352587,56.60054703003233,317,gini,sqrt
67,CAM-0067,15,0.9407535561572955,0.5434805258756572,0.8283715012748359,160.7214065253707,129.86073158478416,-20.763320351753663,78.8722920394653,44,entropy,
68,CAM-0068,33,0.7713021932291373,0.3028411105433936,0.5403098786374472,932.6238263657489,569.7219891272255,-46.25152608750874,6.300917730868159,845,gini,
69,CAM-0069,66,0.36236460393472014,0.3796622091242128,0.2949023768789816,262.480449673602,459.595650334326,-58.30873241589701,59.04767437888067,803,gini,sqrt
70,CAM-0070,75,0.7600363871904736,0.7606900458559753,0.46502503299975506,12.180719816030484,770.3176510997681,-39.37059144800538,81.69883325985674,827,gini,sqrt
71,CAM-0071,12,0.671803696618523,0.2837584339987096,0.9783586581153925,57.70123120058338,484.03792814101655,-69.64180537579637,87.44533575409359,827,gini,
72,CAM-0072,88,0.6855548769205401,0.9378448057187535,0.22066914522309472,369.09122134564103,330.78086163289123,-92.39159294297671,37.993249112150885,577,entropy,sqrt
73,CAM-0073,55,0.7664386515809068,0.5029638671801483,0.19363297593351042,217.7992639227084,164.8534736914329,-34.30385273999896,12.987720082393167,785,gini,log2
74,CAM-0074,85,0.5635736425736828,0.3240090387987208,0.24527837404565367,10.455735967608693,402.23967960571173,-41.95595793515348,95.64008488410771,818,entropy,log2
75,CAM-0075,58,0.38520076166708983,0.11165828629986606,0.5343652552965736,523.5618618192791,925.8427276488288,-57.82390703245986,69.29976357400288,731,gini,log2
76,CAM-0076,71,0.32725831624243484,0.6183162629645759,0.9535910224774825,709.789507992648,973.733117492896,-47.27812461840545,53.630190747775615,680,entropy,log2
77,CAM-0077,23,0.9661083267356263,0.8744909324099785,0.23012042307313965,667.528819566793,805.8028687800253,-14.08247875792216,95.52038984566063,323,entropy,log2
78,CAM-0078,84,0.6833916677709567,0.5947624310679297,0.6629358012373552,81.37347458445399,413.59756334135034,-22.414557715699814,97.90126612035931,852,gini,sqrt
79,CAM-0079,25,0.3652906638175212,0.2784264972757573,0.7276020699107603,353.6863710593746,756.4088106013974,-20.1926938139883,19.827035566795804,29,gini,sqrt
80,CAM-0080,47,0.3626264564688275,0.4022608821064798,0.28550565450535287,448.34622889599166,955.5012748108225,-32.15204792414458,79.58873497873361,650,entropy,
81,CAM-0081,86,0.5350213602129938,0.10915165655905452,0.5070156538732287,348.02555184461295,147.80544227498783,-93.48429262717049,95.41836320399034,491,entropy,
82,CAM-0082,41,0.9106169847616404,0.27454148204628115,0.19798701799675872,256.9795593602672,748.3926532591477,-19.8926631736836,58.63452581473613,964,entropy,log2
83,CAM-0083,58,0.44683034106314856,0.36212623022695567,0.4618546503463353,937.0673891006202,572.279907154208,-64.77913114084805,67.46133250727944,487,gini,sqrt
84,CAM-0084,42,0.7483737648801765,0.7721673376947008,0.7543283891431015,435.3318829360839,51.131706773487885,-22.043249827877816,72.00012961109935,449,gini,log2
85,CAM-0085,55,0.7953576885663837,0.5840299417155003,0.945621224503832,344.325691760746,661.4486042738081,-30.133132566155055,89.18997939145262,973,gini,
86,CAM-0086,79,0.1846450703918878,0.7927894204562191,0.9894853779436653,91.35220072725717,378.3734430649525,-34.52648868155188,68.88222105334548,595,entropy,sqrt
87,CAM-0087,25,0.4303857747552825,0.29697939459912304,0.6245896699332103,13.970019276108836,217.96794996057878,-7.36152237801241,6.634212416829178,589,gini,log2
88,CAM-0088,82,0.7984759839018059,0.9541273158928718,0.473629128268925,398.40925109603273,520.3333309751845,-48.89690006932226,97.24098103010475,809,entropy,
89,CAM-0089,82,0.5513499266511107,0.15787275002163353,0.7959764144064128,397.33803776407035,751.5448902591062,-75.0215004612378,46.076964991856364,876,gini,sqrt
90,CAM-0090,77,0.9161331616586258,0.8970933776117275,0.5424651101171473,287.0426028413488,7.230923514912613,-96.46336910086241,75.92199082374292,557,entropy,log2
91,CAM-0091,15,0.19774238868203958,0.4934295322521507,0.8362004410096374,844.4516034564111,924.5394602371346,-82.29373182828255,56.798671822243925,341,gini,sqrt
92,CAM-0092,59,0.8763698557096472,0.9708196070059494,0.4804297135390465,275.55127733183355,205.3471389501621,-66.94488791716724,37.1190207416365,735,gini,sqrt
93,CAM-0093,43,0.4134119473580694,0.8276773368650092,0.5210271509791444,996.865141732358,261.79030768762766,-14.544833675093159,53.73181267452942,703,entropy,log2
94,CAM-0094,30,0.8612931970802248,0.2993338898908794,0.35201214619005183,189.63188761928615,296.10382109011124,-2.906401305809112,88.72103042554693,961,entropy,sqrt
95,CAM-0095,55,0.8097826237578515,0.670237995074037,0.3509145240793258,132.0250741855525,570.6495670815381,-57.83461407187299,34.97233945348424,507,entropy,
96,CAM-0096,39,0.3937526922840714,0.31356799635369104,0.5629901156038454,655.0588604807202,741.2505617709053,-59.43240680778251,33.743413634692196,10,entropy,sqrt
97,CAM-0097,86,0.6410118659516174,0.8539326278951227,0.38811739617208163,262.41338064841995,883.483709415498,-2.519437123324323,57.05479656195759,548,entropy,sqrt
98,CAM-0098,39,0.6941583873275203,0.40744665994027984,0.4854534924150574,105.89897354505703,824.2746434312452,-20.115775703866376,55.270793563110935,119,gini,log2
99,CAM-0099,57,0.2474843097542694,0.26167375218282524,0.4954957741220022,655.2546945771522,451.64353414354406,-52.37947069759124,1.4516510535025193,223,gini,sqrt
